in0 | arrSize: 75000 | type: Integer -> maxInput: 967
in1 | arrSize: 75000 | type: Integer -> maxInput: 974
in0 | arrSize: 75000 | type: Integer -> maxInput: 900
in1 | arrSize: 75000 | type: Integer -> maxInput: 1022
in0 | arrSize: 75000 | type: Integer -> maxInput: 973
in1 | arrSize: 75000 | type: Integer -> maxInput: 779
in0 | arrSize: 75000 | type: Integer -> maxInput: 1035
in1 | arrSize: 75000 | type: Integer -> maxInput: 974
in0 | arrSize: 75000 | type: Integer -> maxInput: 996
in1 | arrSize: 75000 | type: Integer -> maxInput: 1124
in0 | arrSize: 75000 | type: Integer -> maxInput: 1011
in1 | arrSize: 75000 | type: Integer -> maxInput: 1108
in0 | arrSize: 100000 | type: Integer -> maxInput: 765
in1 | arrSize: 100000 | type: Integer -> maxInput: 778
in0 | arrSize: 100000 | type: Integer -> maxInput: 705
in1 | arrSize: 100000 | type: Integer -> maxInput: 772
in0 | arrSize: 100000 | type: Integer -> maxInput: 681
in1 | arrSize: 100000 | type: Integer -> maxInput: 809
in0 | arrSize: 100000 | type: Integer -> maxInput: 750
in1 | arrSize: 100000 | type: Integer -> maxInput: 777
in0 | arrSize: 100000 | type: Integer -> maxInput: 769
in1 | arrSize: 100000 | type: Integer -> maxInput: 778
in0 | arrSize: 100000 | type: Integer -> maxInput: 761
in1 | arrSize: 100000 | type: Integer -> maxInput: 776
in0 | arrSize: 150000 | type: Integer -> maxInput: 388
in1 | arrSize: 150000 | type: Integer -> maxInput: 460
in0 | arrSize: 150000 | type: Integer -> maxInput: 516
in1 | arrSize: 150000 | type: Integer -> maxInput: 521
in0 | arrSize: 150000 | type: Integer -> maxInput: 388
in1 | arrSize: 150000 | type: Integer -> maxInput: 534
in0 | arrSize: 150000 | type: Integer -> maxInput: 480
in1 | arrSize: 150000 | type: Integer -> maxInput: 485
in0 | arrSize: 150000 | type: Integer -> maxInput: 535
in1 | arrSize: 150000 | type: Integer -> maxInput: 485
in0 | arrSize: 150000 | type: Integer -> maxInput: 535
in1 | arrSize: 150000 | type: Integer -> maxInput: 589
in0 | arrSize: 75000 | type: Double -> maxInput: 754
in1 | arrSize: 75000 | type: Double -> maxInput: 583
in0 | arrSize: 75000 | type: Double -> maxInput: 681
in1 | arrSize: 75000 | type: Double -> maxInput: 773
in0 | arrSize: 75000 | type: Double -> maxInput: 779
in1 | arrSize: 75000 | type: Double -> maxInput: 776
in0 | arrSize: 75000 | type: Double -> maxInput: 681
in1 | arrSize: 75000 | type: Double -> maxInput: 950
in0 | arrSize: 75000 | type: Double -> maxInput: 851
in1 | arrSize: 75000 | type: Double -> maxInput: 889
in0 | arrSize: 75000 | type: Double -> maxInput: 846
in1 | arrSize: 75000 | type: Double -> maxInput: 767
in0 | arrSize: 100000 | type: Double -> maxInput: 583
in1 | arrSize: 100000 | type: Double -> maxInput: 632
in0 | arrSize: 100000 | type: Double -> maxInput: 633
in1 | arrSize: 100000 | type: Double -> maxInput: 654
in0 | arrSize: 100000 | type: Double -> maxInput: 682
in1 | arrSize: 100000 | type: Double -> maxInput: 643
in0 | arrSize: 100000 | type: Double -> maxInput: 706
in1 | arrSize: 100000 | type: Double -> maxInput: 691
in0 | arrSize: 100000 | type: Double -> maxInput: 608
in1 | arrSize: 100000 | type: Double -> maxInput: 688
in0 | arrSize: 100000 | type: Double -> maxInput: 602
in1 | arrSize: 100000 | type: Double -> maxInput: 626
in0 | arrSize: 150000 | type: Double -> maxInput: 381
in1 | arrSize: 150000 | type: Double -> maxInput: 424
in0 | arrSize: 150000 | type: Double -> maxInput: 388
in1 | arrSize: 150000 | type: Double -> maxInput: 375
in0 | arrSize: 150000 | type: Double -> maxInput: 440
in1 | arrSize: 150000 | type: Double -> maxInput: 388
in0 | arrSize: 150000 | type: Double -> maxInput: 419
in1 | arrSize: 150000 | type: Double -> maxInput: 388
in0 | arrSize: 150000 | type: Double -> maxInput: 414
in1 | arrSize: 150000 | type: Double -> maxInput: 466
in0 | arrSize: 150000 | type: Double -> maxInput: 438
in1 | arrSize: 150000 | type: Double -> maxInput: 448
in0 | arrSize: 75000 | type: Long -> maxInput: 754
