in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1364
in2 | arrSize: 75000 | type: Integer -> maxInput: 1462
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1807
in2 | arrSize: 75000 | type: Integer -> maxInput: 1364
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1560
in2 | arrSize: 75000 | type: Integer -> maxInput: 1740
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1792
in2 | arrSize: 75000 | type: Integer -> maxInput: 1554
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1753
in2 | arrSize: 75000 | type: Integer -> maxInput: 1548
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1509
in2 | arrSize: 75000 | type: Integer -> maxInput: 1558
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1230
in2 | arrSize: 100000 | type: Integer -> maxInput: 1169
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1064
in2 | arrSize: 100000 | type: Integer -> maxInput: 1169
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1233
in2 | arrSize: 100000 | type: Integer -> maxInput: 1251
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1169
in2 | arrSize: 100000 | type: Integer -> maxInput: 1168
in0 | arrSize: 100000 | type: int -> maxInput: 50000
in1 | arrSize: 100000 | type: Integer -> maxInput: 1230
in2 | arrSize: 100000 | type: Integer -> maxInput: 1248
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1254
in2 | arrSize: 100000 | type: Integer -> maxInput: 1371
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 583
in2 | arrSize: 150000 | type: Integer -> maxInput: 730
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 570
in2 | arrSize: 150000 | type: Integer -> maxInput: 824
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 779
in2 | arrSize: 150000 | type: Integer -> maxInput: 827
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 779
in2 | arrSize: 150000 | type: Integer -> maxInput: 882
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 816
in2 | arrSize: 150000 | type: Integer -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 820
in2 | arrSize: 150000 | type: Integer -> maxInput: 924
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1169
in2 | arrSize: 75000 | type: Double -> maxInput: 974
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1162
in2 | arrSize: 75000 | type: Double -> maxInput: 1168
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1164
in2 | arrSize: 75000 | type: Double -> maxInput: 1233
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1233
in2 | arrSize: 75000 | type: Double -> maxInput: 1166
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1243
in2 | arrSize: 75000 | type: Double -> maxInput: 1242
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1242
in2 | arrSize: 75000 | type: Double -> maxInput: 1389
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 824
in2 | arrSize: 100000 | type: Double -> maxInput: 730
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 779
in2 | arrSize: 100000 | type: Double -> maxInput: 935
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 824
in2 | arrSize: 100000 | type: Double -> maxInput: 968
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 926
in2 | arrSize: 100000 | type: Double -> maxInput: 773
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 875
in2 | arrSize: 100000 | type: Double -> maxInput: 1023
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 864
in2 | arrSize: 100000 | type: Double -> maxInput: 1072
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 485
in2 | arrSize: 150000 | type: Double -> maxInput: 534
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 556
in2 | arrSize: 150000 | type: Double -> maxInput: 583
in0 | arrSize: 150000 | type: int -> maxInput: 50000
in1 | arrSize: 150000 | type: Double -> maxInput: 562
in2 | arrSize: 150000 | type: Double -> maxInput: 576
in0 | arrSize: 150000 | type: int -> maxInput: 780
in1 | arrSize: 150000 | type: Double -> maxInput: 606
in2 | arrSize: 150000 | type: Double -> maxInput: 583
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 582
in2 | arrSize: 150000 | type: Double -> maxInput: 668
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 584
in2 | arrSize: 150000 | type: Double -> maxInput: 681
in0 | arrSize: 75000 | type: Long -> maxInput: 1371
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1120
in0 | arrSize: 75000 | type: Long -> maxInput: 1169
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1168
in0 | arrSize: 75000 | type: Long -> maxInput: 1244
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1166
in0 | arrSize: 75000 | type: Long -> maxInput: 1280
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1117
in0 | arrSize: 75000 | type: Long -> maxInput: 1265
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1230
in0 | arrSize: 75000 | type: Long -> maxInput: 1355
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1254
in0 | arrSize: 100000 | type: Long -> maxInput: 779
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 681
in0 | arrSize: 100000 | type: Long -> maxInput: 900
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 779
in0 | arrSize: 100000 | type: Long -> maxInput: 959
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 898
in0 | arrSize: 100000 | type: Long -> maxInput: 826
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 822
in0 | arrSize: 100000 | type: Long -> maxInput: 944
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 938
in0 | arrSize: 100000 | type: Long -> maxInput: 924
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 901
in0 | arrSize: 150000 | type: Long -> maxInput: 558
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 558
in0 | arrSize: 150000 | type: Long -> maxInput: 579
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 607
in0 | arrSize: 150000 | type: Long -> maxInput: 583
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 485
in0 | arrSize: 150000 | type: Long -> maxInput: 675
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 388
in0 | arrSize: 150000 | type: Long -> maxInput: 576
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 579
in0 | arrSize: 150000 | type: Long -> maxInput: 627
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 632
