in0 | arrSize: 75000 | type: Integer -> maxInput: 1169
in1 | arrSize: 75000 | type: Integer -> maxInput: 1608
in0 | arrSize: 75000 | type: Integer -> maxInput: 1534
in1 | arrSize: 75000 | type: Integer -> maxInput: 1554
in0 | arrSize: 75000 | type: Integer -> maxInput: 1560
in1 | arrSize: 75000 | type: Integer -> maxInput: 1849
in0 | arrSize: 75000 | type: Integer -> maxInput: 1560
in1 | arrSize: 75000 | type: Integer -> maxInput: 1846
in0 | arrSize: 75000 | type: Integer -> maxInput: 1560
in1 | arrSize: 75000 | type: Integer -> maxInput: 1840
in0 | arrSize: 75000 | type: Integer -> maxInput: 1725
in1 | arrSize: 75000 | type: Integer -> maxInput: 1804
in0 | arrSize: 100000 | type: Integer -> maxInput: 1273
in1 | arrSize: 100000 | type: Integer -> maxInput: 1071
in0 | arrSize: 100000 | type: Integer -> maxInput: 1236
in1 | arrSize: 100000 | type: Integer -> maxInput: 1343
in0 | arrSize: 100000 | type: Integer -> maxInput: 1248
in1 | arrSize: 100000 | type: Integer -> maxInput: 1168
in0 | arrSize: 100000 | type: Integer -> maxInput: 1168
in1 | arrSize: 100000 | type: Integer -> maxInput: 1248
in0 | arrSize: 100000 | type: Integer -> maxInput: 1234
in1 | arrSize: 100000 | type: Integer -> maxInput: 1365
in0 | arrSize: 100000 | type: Integer -> maxInput: 1242
in1 | arrSize: 100000 | type: Integer -> maxInput: 1463
in0 | arrSize: 150000 | type: Integer -> maxInput: 824
in1 | arrSize: 150000 | type: Integer -> maxInput: 824
in0 | arrSize: 150000 | type: Integer -> maxInput: 583
in1 | arrSize: 150000 | type: Integer -> maxInput: 975
in0 | arrSize: 150000 | type: Integer -> maxInput: 778
in1 | arrSize: 150000 | type: Integer -> maxInput: 779
in0 | arrSize: 150000 | type: Integer -> maxInput: 825
in1 | arrSize: 150000 | type: Integer -> maxInput: 779
in0 | arrSize: 150000 | type: Integer -> maxInput: 822
in1 | arrSize: 150000 | type: Integer -> maxInput: 779
in0 | arrSize: 150000 | type: Integer -> maxInput: 828
in1 | arrSize: 150000 | type: Integer -> maxInput: 900
in0 | arrSize: 75000 | type: Double -> maxInput: 1245
in1 | arrSize: 75000 | type: Double -> maxInput: 1374
in0 | arrSize: 75000 | type: Double -> maxInput: 1216
in1 | arrSize: 75000 | type: Double -> maxInput: 1389
in0 | arrSize: 75000 | type: Double -> maxInput: 1365
in1 | arrSize: 75000 | type: Double -> maxInput: 1290
in0 | arrSize: 75000 | type: Double -> maxInput: 1161
in1 | arrSize: 75000 | type: Double -> maxInput: 1372
in0 | arrSize: 75000 | type: Double -> maxInput: 1215
in1 | arrSize: 75000 | type: Double -> maxInput: 1263
in0 | arrSize: 75000 | type: Double -> maxInput: 1203
in1 | arrSize: 75000 | type: Double -> maxInput: 1263
in0 | arrSize: 100000 | type: Double -> maxInput: 916
in1 | arrSize: 100000 | type: Double -> maxInput: 779
in0 | arrSize: 100000 | type: Double -> maxInput: 827
in1 | arrSize: 100000 | type: Double -> maxInput: 959
in0 | arrSize: 100000 | type: Double -> maxInput: 779
in1 | arrSize: 100000 | type: Double -> maxInput: 968
in0 | arrSize: 100000 | type: Double -> maxInput: 915
in1 | arrSize: 100000 | type: Double -> maxInput: 870
in0 | arrSize: 100000 | type: Double -> maxInput: 779
in1 | arrSize: 100000 | type: Double -> maxInput: 971
in0 | arrSize: 100000 | type: Double -> maxInput: 779
in1 | arrSize: 100000 | type: Double -> maxInput: 971
in0 | arrSize: 150000 | type: Double -> maxInput: 582
in1 | arrSize: 150000 | type: Double -> maxInput: 658
in0 | arrSize: 150000 | type: Double -> maxInput: 593
in1 | arrSize: 150000 | type: Double -> maxInput: 583
in0 | arrSize: 150000 | type: Double -> maxInput: 614
in1 | arrSize: 150000 | type: Double -> maxInput: 651
in0 | arrSize: 150000 | type: Double -> maxInput: 621
in1 | arrSize: 150000 | type: Double -> maxInput: 714
in0 | arrSize: 150000 | type: Double -> maxInput: 633
in1 | arrSize: 150000 | type: Double -> maxInput: 625
in0 | arrSize: 150000 | type: Double -> maxInput: 585
in1 | arrSize: 150000 | type: Double -> maxInput: 733
in0 | arrSize: 75000 | type: Long -> maxInput: 1325
in1 | arrSize: 75000 | type: Long -> maxInput: 1233
in0 | arrSize: 75000 | type: Long -> maxInput: 1169
in1 | arrSize: 75000 | type: Long -> maxInput: 1234
in0 | arrSize: 75000 | type: Long -> maxInput: 1324
in1 | arrSize: 75000 | type: Long -> maxInput: 1232
in0 | arrSize: 75000 | type: Long -> maxInput: 1438
in1 | arrSize: 75000 | type: Long -> maxInput: 1180
in0 | arrSize: 75000 | type: Long -> maxInput: 1361
in1 | arrSize: 75000 | type: Long -> maxInput: 1365
in0 | arrSize: 75000 | type: Long -> maxInput: 1304
in1 | arrSize: 75000 | type: Long -> maxInput: 1291
in0 | arrSize: 100000 | type: Long -> maxInput: 779
in1 | arrSize: 100000 | type: Long -> maxInput: 583
in0 | arrSize: 100000 | type: Long -> maxInput: 1017
in1 | arrSize: 100000 | type: Long -> maxInput: 870
in0 | arrSize: 100000 | type: Long -> maxInput: 967
in1 | arrSize: 100000 | type: Long -> maxInput: 941
in0 | arrSize: 100000 | type: Long -> maxInput: 779
in1 | arrSize: 100000 | type: Long -> maxInput: 823
in0 | arrSize: 100000 | type: Long -> maxInput: 1029
in1 | arrSize: 100000 | type: Long -> maxInput: 938
in0 | arrSize: 100000 | type: Long -> maxInput: 1029
