in0 | arrSize: 75000 | type: Integer -> maxInput: 270
in1 | arrSize: 75000 | type: Integer -> maxInput: 266
in0 | arrSize: 75000 | type: Integer -> maxInput: 241
in1 | arrSize: 75000 | type: Integer -> maxInput: 248
in0 | arrSize: 75000 | type: Integer -> maxInput: 281
in1 | arrSize: 75000 | type: Integer -> maxInput: 273
in0 | arrSize: 75000 | type: Integer -> maxInput: 241
in1 | arrSize: 75000 | type: Integer -> maxInput: 279
in0 | arrSize: 75000 | type: Integer -> maxInput: 285
in1 | arrSize: 75000 | type: Integer -> maxInput: 287
in0 | arrSize: 75000 | type: Integer -> maxInput: 271
in1 | arrSize: 75000 | type: Integer -> maxInput: 241
in0 | arrSize: 100000 | type: Integer -> maxInput: 230
in1 | arrSize: 100000 | type: Integer -> maxInput: 266
in0 | arrSize: 100000 | type: Integer -> maxInput: 217
in1 | arrSize: 100000 | type: Integer -> maxInput: 214
in0 | arrSize: 100000 | type: Integer -> maxInput: 225
in1 | arrSize: 100000 | type: Integer -> maxInput: 217
in0 | arrSize: 100000 | type: Integer -> maxInput: 229
in1 | arrSize: 100000 | type: Integer -> maxInput: 236
in0 | arrSize: 100000 | type: Integer -> maxInput: 232
in1 | arrSize: 100000 | type: Integer -> maxInput: 217
in0 | arrSize: 100000 | type: Integer -> maxInput: 229
in1 | arrSize: 100000 | type: Integer -> maxInput: 218
in0 | arrSize: 150000 | type: Integer -> maxInput: 162
in1 | arrSize: 150000 | type: Integer -> maxInput: 184
in0 | arrSize: 150000 | type: Integer -> maxInput: 187
in1 | arrSize: 150000 | type: Integer -> maxInput: 167
in0 | arrSize: 150000 | type: Integer -> maxInput: 194
in1 | arrSize: 150000 | type: Integer -> maxInput: 178
in0 | arrSize: 150000 | type: Integer -> maxInput: 197
in1 | arrSize: 150000 | type: Integer -> maxInput: 180
in0 | arrSize: 150000 | type: Integer -> maxInput: 168
in1 | arrSize: 150000 | type: Integer -> maxInput: 196
in0 | arrSize: 150000 | type: Integer -> maxInput: 183
in1 | arrSize: 150000 | type: Integer -> maxInput: 168
in0 | arrSize: 75000 | type: Double -> maxInput: 263
in1 | arrSize: 75000 | type: Double -> maxInput: 260
in0 | arrSize: 75000 | type: Double -> maxInput: 291
in1 | arrSize: 75000 | type: Double -> maxInput: 291
in0 | arrSize: 75000 | type: Double -> maxInput: 270
in1 | arrSize: 75000 | type: Double -> maxInput: 239
in0 | arrSize: 75000 | type: Double -> maxInput: 271
in1 | arrSize: 75000 | type: Double -> maxInput: 284
in0 | arrSize: 75000 | type: Double -> maxInput: 262
in1 | arrSize: 75000 | type: Double -> maxInput: 250
in0 | arrSize: 75000 | type: Double -> maxInput: 268
in1 | arrSize: 75000 | type: Double -> maxInput: 241
in0 | arrSize: 100000 | type: Double -> maxInput: 242
in1 | arrSize: 100000 | type: Double -> maxInput: 230
in0 | arrSize: 100000 | type: Double -> maxInput: 193
in1 | arrSize: 100000 | type: Double -> maxInput: 205
in0 | arrSize: 100000 | type: Double -> maxInput: 220
in1 | arrSize: 100000 | type: Double -> maxInput: 200
in0 | arrSize: 100000 | type: Double -> maxInput: 226
in1 | arrSize: 100000 | type: Double -> maxInput: 230
in0 | arrSize: 100000 | type: Double -> maxInput: 229
in1 | arrSize: 100000 | type: Double -> maxInput: 218
