in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1364
in2 | arrSize: 75000 | type: Integer -> maxInput: 1364
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1547
in2 | arrSize: 75000 | type: Integer -> maxInput: 1716
in0 | arrSize: 75000 | type: int -> maxInput: 50000
in1 | arrSize: 75000 | type: Integer -> maxInput: 1544
in2 | arrSize: 75000 | type: Integer -> maxInput: 1801
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1554
in2 | arrSize: 75000 | type: Integer -> maxInput: 1554
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1515
in2 | arrSize: 75000 | type: Integer -> maxInput: 1557
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Integer -> maxInput: 1682
in2 | arrSize: 75000 | type: Integer -> maxInput: 1853
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1229
in2 | arrSize: 100000 | type: Integer -> maxInput: 1169
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1216
in2 | arrSize: 100000 | type: Integer -> maxInput: 1282
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1279
in2 | arrSize: 100000 | type: Integer -> maxInput: 1279
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1263
in2 | arrSize: 100000 | type: Integer -> maxInput: 1297
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1280
in2 | arrSize: 100000 | type: Integer -> maxInput: 1279
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Integer -> maxInput: 1267
in2 | arrSize: 100000 | type: Integer -> maxInput: 1267
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 730
in2 | arrSize: 150000 | type: Integer -> maxInput: 730
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 764
in2 | arrSize: 150000 | type: Integer -> maxInput: 656
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 704
in2 | arrSize: 150000 | type: Integer -> maxInput: 730
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 773
in2 | arrSize: 150000 | type: Integer -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 770
in2 | arrSize: 150000 | type: Integer -> maxInput: 779
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Integer -> maxInput: 778
in2 | arrSize: 150000 | type: Integer -> maxInput: 986
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1266
in2 | arrSize: 75000 | type: Double -> maxInput: 1279
in0 | arrSize: 75000 | type: int -> maxInput: 2
in1 | arrSize: 75000 | type: Double -> maxInput: 1247
in2 | arrSize: 75000 | type: Double -> maxInput: 1282
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1156
in2 | arrSize: 75000 | type: Double -> maxInput: 1266
in0 | arrSize: 75000 | type: int -> maxInput: 50000
in1 | arrSize: 75000 | type: Double -> maxInput: 1279
in2 | arrSize: 75000 | type: Double -> maxInput: 1286
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1285
in2 | arrSize: 75000 | type: Double -> maxInput: 1285
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Double -> maxInput: 1263
in2 | arrSize: 75000 | type: Double -> maxInput: 1279
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 730
in2 | arrSize: 100000 | type: Double -> maxInput: 918
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 875
in2 | arrSize: 100000 | type: Double -> maxInput: 779
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 774
in2 | arrSize: 100000 | type: Double -> maxInput: 778
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 941
in2 | arrSize: 100000 | type: Double -> maxInput: 973
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 962
in2 | arrSize: 100000 | type: Double -> maxInput: 1087
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Double -> maxInput: 950
in2 | arrSize: 100000 | type: Double -> maxInput: 1059
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 570
in2 | arrSize: 150000 | type: Double -> maxInput: 641
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 570
in2 | arrSize: 150000 | type: Double -> maxInput: 640
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 617
in2 | arrSize: 150000 | type: Double -> maxInput: 632
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 629
in2 | arrSize: 150000 | type: Double -> maxInput: 644
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 630
in2 | arrSize: 150000 | type: Double -> maxInput: 641
in0 | arrSize: 150000 | type: int -> maxInput: 1
in1 | arrSize: 150000 | type: Double -> maxInput: 657
in2 | arrSize: 150000 | type: Double -> maxInput: 632
in0 | arrSize: 75000 | type: Long -> maxInput: 1169
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1169
in0 | arrSize: 75000 | type: Long -> maxInput: 1169
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1144
in0 | arrSize: 75000 | type: Long -> maxInput: 1288
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1273
in0 | arrSize: 75000 | type: Long -> maxInput: 1286
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1248
in0 | arrSize: 75000 | type: Long -> maxInput: 1301
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1279
in0 | arrSize: 75000 | type: Long -> maxInput: 1319
in1 | arrSize: 75000 | type: Long -> maxInput: 1
in2 | arrSize: 75000 | type: int -> maxInput: 1263
in0 | arrSize: 100000 | type: Long -> maxInput: 681
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 754
in0 | arrSize: 100000 | type: Long -> maxInput: 779
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 873
in0 | arrSize: 100000 | type: Long -> maxInput: 779
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 870
in0 | arrSize: 100000 | type: Long -> maxInput: 1053
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 773
in0 | arrSize: 100000 | type: Long -> maxInput: 1041
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 962
in0 | arrSize: 100000 | type: Long -> maxInput: 1182
in1 | arrSize: 100000 | type: Long -> maxInput: 1
in2 | arrSize: 100000 | type: int -> maxInput: 950
in0 | arrSize: 150000 | type: Long -> maxInput: 622
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 583
in0 | arrSize: 150000 | type: Long -> maxInput: 645
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 638
in0 | arrSize: 150000 | type: Long -> maxInput: 649
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 641
in0 | arrSize: 150000 | type: Long -> maxInput: 648
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 632
in0 | arrSize: 150000 | type: Long -> maxInput: 632
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 632
in0 | arrSize: 150000 | type: Long -> maxInput: 648
in1 | arrSize: 150000 | type: Long -> maxInput: 1
in2 | arrSize: 150000 | type: int -> maxInput: 644
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in2 | arrSize: 75000 | type: Float -> maxInput: 1363
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1462
in2 | arrSize: 75000 | type: Float -> maxInput: 1357
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1908
in2 | arrSize: 75000 | type: Float -> maxInput: 1554
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1560
in2 | arrSize: 75000 | type: Float -> maxInput: 1756
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1813
in2 | arrSize: 75000 | type: Float -> maxInput: 1546
in0 | arrSize: 75000 | type: int -> maxInput: 1
in1 | arrSize: 75000 | type: Float -> maxInput: 1963
in2 | arrSize: 75000 | type: Float -> maxInput: 1450
in0 | arrSize: 100000 | type: int -> maxInput: 1
in1 | arrSize: 100000 | type: Float -> maxInput: 1280
