Complexity,Loss,Equation
1,3.6896315e-9,"5.1923238e-5"
3,1.6856405e-9,"input0 * 1.1698339e-5"
5,9.936495e-10,"input0 * (input0 * 1.639038e-6)"
7,8.2982876e-10,"input0 * ((input0 * input0) * 1.9818133e-7)"
8,7.632571e-10,"exp(input0 * (input0 * 0.02840017)) * 1.38265505e-5"
10,6.8715234e-10,"(((exp(input0) * 0.00045258467) + input0) * input0) * 1.1885824e-6"
12,6.8296124e-10,"(input0 * 9.221165e-7) * ((input0 + (exp(input0) * 0.0006404445)) + 1.9073285)"
13,6.749438e-10,"(input0 * 4.2213005e-6) * (log(input0) + ((input0 + exp(input0)) * 0.0001557535))"
17,6.4727207e-10,"((sin(input0) * -1.3895462) + input0) * ((input0 * 2.0903363e-7) * (sin(input0 * -2.9326046) + input0))"
20,6.4056355e-10,"(((input0 + sin(input0 * -2.9674861)) * input0) * ((input0 + sin(sin(input0) * -1.9072857)) * 2.0260731e-7)) + 2.6158016e-6"
23,6.3854655e-10,"(((input0 + sin(sin(input0) * -2.334513)) * (input0 * 2.1829227e-7)) * (sin((input0 * -0.10487617) * exp(input0)) + input0)) + 2.6297494e-6"
24,6.268877e-10,"(input0 * 1.8416867e-7) * (((sin(sin(input0) * (input0 * -0.31759948)) + cos((input0 * input0) * -0.810977)) + input0) * (input0 + 1.3991487))"
