Complexity,Loss,Equation
1,7.407688e-8,"0.00036549196"
3,2.622601e-8,"input0 * 2.7698314e-5"
5,2.6112604e-8,"(input0 * 2.8922479e-5) + -2.1625232e-5"
7,2.61126e-8,"sin(sin(input0 * 2.8922523e-5)) + -2.1625641e-5"
8,2.3726578e-8,"(sin(input0 * -0.3871756) + input0) * 2.8088903e-5"
10,2.0791122e-8,"(input0 + (sin(input0 * -0.38661492) * 3.6865513)) * 2.8570117e-5"
12,2.0765555e-8,"(input0 * 2.8516108e-5) + (sin((input0 + -0.26060924) * -0.39278015) * 0.00010596094)"
13,2.0754383e-8,"(input0 * 2.8490747e-5) + (sin(sin((input0 + -0.26798183) * -0.39278015)) * 0.000119738936)"
15,2.0208008e-8,"(sin(sin(input0 * 0.34830227) + (input0 * -0.39265755)) * 0.00012950195) + (input0 * 3.075473e-5)"
16,2.0056596e-8,"(input0 * 3.075473e-5) + (sin((input0 * -0.39265755) + sin(sin(0.34830227 * input0))) * 0.00012950195)"
18,2.0056557e-8,"(sin((input0 * -0.39265755) + sin(sin(0.34830227 * input0))) * 0.00012950195) + ((input0 * 3.075413e-5) + LiteralCountDepth0)"
22,2.0035577e-8,"(input0 * 2.7593587e-5) * exp(exp((sin(log(input0) + 0.2845024) * 2.1656184) + CustomObjectWithCustomMethod) * (sin(input0 * -0.39202726) * 0.06579979))"
24,2.0014266e-8,"(input0 * 3.1441698e-5) + (sin(sin(sin((input0 + ((ThreadUsage + (input0 * -0.050248906)) * 0.453123)) * 0.33342513)) + (input0 * -0.3866288)) * 0.00013171392)"
25,1.9772392e-8,"exp((exp(sin((sin(input0 * -0.3512049) * 0.25032896) + log(input0)) * 3.5903866) * sin(input0 * -0.3854079)) * 0.06085087) * (input0 * 2.8573717e-5)"
27,1.9725823e-8,"(exp(exp(sin(log(input0) + (sin((input0 * -0.38785166) + 0.6428862) * 0.2751114)) * 3.2470798) * (sin(input0 * -0.38785166) * 0.066010945)) * input0) * 2.8874874e-5"
29,1.9685947e-8,"(exp((exp((ReturnTypevoid + 2.1672416) * sin(log(input0) + (sin((input0 * -0.38785166) + 0.6900192) * 0.2751114))) * 0.066010945) * sin(input0 * -0.38785166)) * 2.861356e-5) * input0"
