Complexity,Loss,Equation
1,1.3720151e-7,"0.00064682984"
3,9.4610115e-8,"input0 * 4.1321357e-5"
5,7.313673e-8,"(input0 * 2.4396918e-6) * input0"
6,6.2114e-8,"exp(input0 * 0.17802288) * 3.1406475e-5"
8,5.0696173e-8,"(exp(input0 * 0.3109638) * 1.669138e-6) + 0.00028285975"
11,4.8516775e-8,"((cos(cos(input0 * 0.18746643)) * input0) * 0.00015691866) + -0.0009752496"
12,4.1912656e-8,"(sin(input0 * 0.44702098) + -2.0858567) * ((input0 * -7.387458e-5) + 0.00077597646)"
14,3.9783686e-8,"((input0 * 0.20813538) + -2.1732166) * ((sin(input0 * -0.27279726) + -1.4116253) * -0.000869093)"
15,3.7929187e-8,"(sin(cos(input0) + (input0 * -0.29384816)) + -2.2957516) * ((input0 * -6.1481136e-5) + 0.00060482696)"
16,3.5055898e-8,"(exp(ReturnTypevoid) + sin((input0 * -0.4796434) + cos(input0))) * ((input0 * 4.3980526e-5) + -0.00042847273)"
18,3.5039033e-8,"((input0 * 4.4528257e-5) + -0.0004359252) * ((ThreadUsage + sin((input0 * -0.47781104) + cos(input0))) + exp(MethodInvocationsDepth0))"
19,3.4977386e-8,"((input0 * 0.23600565) + -2.1898458) * ((sin((input0 * -0.29515228) + cos(input0 * 1.0186827)) + -2.2920508) * -0.00023056836)"
20,3.4977383e-8,"sin(((input0 * 0.23600565) + -2.1898458) * ((sin((input0 * -0.29515228) + cos(input0 * 1.0186827)) + -2.2920508) * -0.00023056836))"
21,3.439018e-8,"(((input0 * 0.24678445) + -2.1886954) * (sin(input0 * ((cos(input0 + -2.6027741) * -0.04481629) + -0.28648075)) + -2.2912724)) * -0.0002184034"
22,3.4385472e-8,"((input0 * 0.24670686) + -2.188704) * sin((sin(((cos(input0 + -2.6067324) * -0.044813532) + -0.28643122) * input0) + -2.2912703) * -0.00021852677)"
26,3.4365694e-8,"((0.24670686 * input0) + -2.188704) * ((sin((-0.28643122 + (cos(input0 + (-2.602765 + (-0.27275893 * 0.113493))) * -0.044813532)) * input0) + -2.2912703) * sin(-0.00021852677))"
27,3.413509e-8,"(((input0 * 0.24670687) + -2.2912703) * (sin(((input0 + 0.24670687) * -0.28643122) + cos(exp((input0 * sin(input0)) + 2.1211855) + input0)) + -2.2912703)) * -0.00022684486"
29,3.4135088e-8,"sin(sin((((input0 * 0.24670687) + -2.2912703) * (sin(((input0 + 0.24670687) * -0.28643122) + cos(exp((input0 * sin(input0)) + 2.1211855) + input0)) + -2.2912703)) * -0.00022684486))"
