Complexity,Loss,Equation
1,5.8879554e-8,"0.00032257038"
3,4.367976e-8,"input2 * 4.3242008e-7"
4,3.4869565e-8,"log(input2) * 6.2369574e-5"
5,2.9556784e-8,"(input2 * 2.933948e-7) + 0.0001626288"
6,2.411875e-8,"(input2 * 3.9521726e-7) * exp(javautilLinkedListaddAllintjavautilCollection)"
7,2.4118743e-8,"sin(input2 * (exp(javautilLinkedList) * 3.9520452e-7))"
8,1.4307556e-8,"(exp(javautilLinkedList) * (input2 + input0)) * 2.2055524e-7"
9,1.4307553e-8,"sin(exp(javautilLinkedListaddAllintjavautilCollection) * ((input0 + input2) * 2.2055531e-7))"
10,1.2770651e-8,"(((input2 + input0) * exp(javautilLinkedList)) * 1.9331166e-7) + 6.169665e-5"
11,1.2770649e-8,"sin((((input2 + input0) * exp(javautilLinkedList)) * 1.9331166e-7) + 6.169665e-5)"
12,1.2763037e-8,"((((input2 + input0) + 20.33926) * exp(javautilLinkedList)) * 1.9279672e-7) + 5.6714056e-5"
13,9.746202e-9,"sin((input2 * (exp(javautilLinkedList) * 0.0004684894)) + (input0 * 0.00040538277)) * 0.00070807524"
14,9.511375e-9,"sin(sin((input0 * 0.0003562114) + ((input2 * exp(javautilLinkedList)) * 0.00047335826)) * 0.00074723683)"
15,8.081311e-9,"sin((input0 * 0.00038440354) + ((input2 * exp(javautilLinkedList * 1.4068576)) * 0.00037747613)) * 0.0007404165"
16,8.079797e-9,"sin((0.00037534733 * input0) + ((input2 * exp(sin(javautilLinkedList) * 1.6741225)) * 0.0003708301)) * 0.0007528876"
17,8.074846e-9,"(sin((input2 * (exp(javautilLinkedList * 1.3667723) * 0.00039814762)) + (input0 * 0.00037251957)) + 0.0020366132) * 0.0007306259"
18,8.037927e-9,"sin(((input2 * 0.0003680149) * exp(sin(javautilLinkedListaddAllintjavautilCollection) * 1.6741225)) + ((input0 + 20.088402) * 0.00036849573)) * 0.0007487754"
19,8.023547e-9,"sin(sin(((exp(sin(javautilLinkedList) * 1.6741225) * input2) * 0.00036576495) + ((input0 + 37.81713) * 0.000363113)) * 0.00074756565)"
21,7.962446e-9,"sin(((input2 * 0.00036576495) * exp(sin(javautilLinkedList) * 1.6741225)) + ((exp(javautilVector + 3.5723653) + input0) * 0.000363113)) * 0.00074756565"
22,7.961839e-9,"sin(((input0 + exp(exp(javautilVector + 0.5126317))) * 0.00036324537) + ((input2 * 0.0003658286) * exp(sin(javautilLinkedList) * 1.6741225))) * 0.0007475758"
23,7.949767e-9,"sin(((input2 * 0.00036576495) * exp(sin(javautilLinkedList) * 1.6741225)) + ((input0 + exp(ImportsUsed + exp(javautilVectoraddAllintjavautilCollection))) * 0.000363113)) * sin(0.00074756565)"
24,7.949761e-9,"sin((exp(sin(javautilLinkedList) * 1.6741225) * (input2 * 0.00036576495)) + ((exp(ImportsUsed + exp(javautilVectoraddAllintjavautilCollection + -0.0007649213)) + input0) * 0.00036311304)) * 0.0007475655"
25,7.936894e-9,"sin(((exp(exp(cos(CyclomaticComplexity)) * sin(javautilLinkedList)) * 0.00036576495) * input2) + ((input0 + exp(exp(javautilVector + cos(javautilVector)))) * 0.000363113)) * 0.00074756565"
26,7.935934e-9,"sin(((input0 + exp(exp(javautilVector + cos(0.9899204)))) * 0.000363113) + (input2 * (exp(exp(cos(cos(javautilVector))) * sin(javautilLinkedList)) * 0.00036576495))) * 0.00074756565"
27,7.92918e-9,"sin(((exp((javautilconcurrentCopyOnWriteArrayListaddAllintjavautilCollection + sin(javautilconcurrentCopyOnWriteArrayListaddAllintjavautilCollection)) + exp(javautilVector + 0.54864883)) + input0) * 0.000363113) + ((exp(sin(javautilLinkedList) * 1.6741225) * input2) * 0.00036576495)) * 0.00074756553"
