Complexity,Loss,Equation
1,6.6883295e-8,"0.00034574166"
3,5.092907e-8,"input1 * 4.558953e-7"
4,4.2059177e-8,"log(input1) * 6.469111e-5"
5,3.6802145e-8,"(javautilconcurrentCopyOnWriteArrayListaddAlljavautilCollection * -0.00039793213) + 0.00044720902"
6,2.9762942e-8,"(exp(javautilLinkedListaddAlljavautilCollection) * 3.6696676e-7) * input1"
7,2.3880878e-8,"(javautilLinkedList * 0.0003434042) + (input1 * 3.9306366e-7)"
9,1.6510329e-8,"(javautilLinkedList * 0.00031469122) + ((input1 + input0) * 2.1924495e-7)"
11,1.5794459e-8,"(javautilLinkedList * 0.00031566407) + (((input0 * 0.7005024) + input1) * 2.5820546e-7)"
13,1.474401e-8,"((input1 + (input1 + 520.50323)) + input0) * ((javautilLinkedList * 1.3961592e-7) + 1.2295419e-7)"
14,1.4744009e-8,"sin((input0 + (input1 + (input1 + 520.50323))) * ((javautilLinkedList * 1.3961592e-7) + 1.2295419e-7))"
15,1.2821505e-8,"((input1 + ((input1 * cos(log(input1))) + input0)) * 1.7568415e-7) + (javautilLinkedList * 0.00028609615)"
17,1.2776418e-8,"((javautilLinkedListaddAlljavautilCollection * 0.0002823691) + (((input0 + input1) + (input1 * cos(log(input1)))) * 1.7131642e-7)) + 1.1491757e-5"
18,1.2430571e-8,"((input0 + ((input1 * (cos(log(input1)) + javautilLinkedList)) + input1)) * 1.7026704e-7) + (sin(javautilLinkedListaddAlljavautilCollection) * 0.000287254)"
19,1.2081445e-8,"(((cos(log(input1)) * (input1 + (input1 * javautilLinkedList))) + (input1 + input0)) * 1.7305545e-7) + (javautilLinkedList * 0.00020763613)"
20,1.2081444e-8,"(javautilLinkedList * 0.00020763613) + sin(1.7305545e-7 * (((((input1 * javautilLinkedList) + input1) * cos(log(input1))) + input1) + input0))"
22,1.20608865e-8,"(((((cos(log(input1)) * (input1 + (input1 * javautilLinkedList))) + input1) + input0) * 1.7305545e-7) + (javautilLinkedList * sin(0.00020763613))) * 1.0115703"
23,1.197275e-8,"(javautilLinkedList * 0.00018251788) + (((input0 + input1) + ((cos(log(input1)) + (input0 * -0.00018296187)) * input1)) * ((javautilLinkedList * 7.030115e-8) + 1.8884124e-7))"
25,1.1562398e-8,"((((((input0 * -0.00016498046) + cos(log(input1))) * input1) + input0) + input1) * 1.8812696e-7) + (javautilLinkedList * ((cos(log(input1)) * 0.00012442976) + 0.00019280212))"
27,1.1535236e-8,"(((input0 + (((input0 * -0.00016457839) + cos(log(input1))) * input1)) + input1) * 1.8746263e-7) + (javautilLinkedList * ((cos(log(input1) * 0.9493627) * 0.00011540515) + 0.00020834812))"
28,1.1499678e-8,"((input0 + ((((input0 * -0.00020094767) + cos(log(input1))) * input1) + input1)) * 1.9027777e-7) + (javautilLinkedList * sin((cos(log(input1) * 0.33795547) * -0.00022468693) + 0.00018942966))"
