Complexity,Loss,Equation
1,2.3038618e-9,"6.87866e-5"
3,1.3727094e-9,"input0 * 1.5273119e-7"
5,1.015343e-9,"(input0 * 1.0959964e-7) + 2.8441866e-5"
7,1.0149457e-9,"2.8440309e-5 + (1.09603135e-7 * (javautilconcurrentCopyOnWriteArrayListaddintjavalangObject + input0))"
8,7.443076e-10,"((input0 * cos(javautilLinkedList)) * 1.3460487e-7) + 2.651107e-5"
9,7.388745e-10,"((sin(exp(javautilLinkedListaddintjavalangObject)) * input0) * 1.6080124e-7) + 2.7117654e-5"
10,7.3856665e-10,"(cos(javautilLinkedList * 1.0826559) * (input0 * 1.3528125e-7)) + 2.7429567e-5"
12,7.222185e-10,"((cos(javautilLinkedListaddintjavalangObject) * exp(log(input0) * 1.2796097)) * 1.92454e-8) + 3.3060223e-5"
13,7.1145406e-10,"(2.3080247e-8 * (sin(exp(javautilLinkedListaddintjavalangObject)) * exp(1.2796097 * log(input0)))) + 3.3429806e-5"
15,7.0436984e-10,"((sin(exp(javautilLinkedListaddintjavalangObject)) + javautilconcurrentCopyOnWriteArrayList) * (exp(log(input0) * 1.2572471) * 2.7844052e-8)) + 3.0214536e-5"
17,6.7066064e-10,"(sin(exp(javautilLinkedList)) * (exp(((javalangLong * 0.25919545) + log(input0)) * 1.3530525) * 1.3548558e-8)) + 3.3314624e-5"
19,6.640262e-10,"((javautilconcurrentCopyOnWriteArrayListaddintjavalangObject + sin(exp(javautilLinkedListaddintjavalangObject))) * (exp((log(input0) * 1.3308508) + (javalangLong * 0.31951836)) * 1.59171e-8)) + 3.216719e-5"
22,6.635765e-10,"((sin(input2) + exp(((javalangLong * 0.24718985) + log(input0)) * 1.4045408)) * ((javautilconcurrentCopyOnWriteArrayList + sin(exp(javautilLinkedList))) * 9.5286605e-9)) + 3.321151e-5"
23,6.571442e-10,"((exp((log(input0) + (javalangLong * 0.22943828)) * 1.268657) * 2.0622666e-8) * (javautilconcurrentCopyOnWriteArrayList + cos((javautilLinkedList * -0.16385573) * log(input0)))) + 3.0901567e-5"
24,6.5685496e-10,"sin((exp((log(input0) + (javalangLong * 0.22943828)) * 1.268657) * ((javautilconcurrentCopyOnWriteArrayList + cos((javautilLinkedList * -0.1631235) * log(input0))) * 2.0922158e-8)) + 3.090007e-5)"
27,6.5602673e-10,"((exp(((log(input0) + (javalangLong * 0.22943828)) * 1.268657) + javautilconcurrentCopyOnWriteArrayListaddintjavalangObject) * cos((log(input0) * ((javautilLinkedList + javautilconcurrentCopyOnWriteArrayList) + 0.0395847)) * 0.15822974)) * 2.1163379e-8) + 2.9951938e-5"
28,6.5414624e-10,"((exp(((javautilconcurrentCopyOnWriteArrayListaddintjavalangObject + log(input0)) + (javalangLong * 0.22943828)) * 1.268657) * cos((javalangFloat + ((sin(javautilconcurrentCopyOnWriteArrayList) + javautilLinkedList) * log(input0))) * 0.15889755)) * 2.1202494e-8) + 2.9279408e-5"
29,6.411088e-10,"(exp(((log(input0) + javautilconcurrentCopyOnWriteArrayList) + ((javalangDouble * 0.15889755) + (javalangLong * 0.22943828))) * 1.268657) * (cos(log(input0) * ((javautilconcurrentCopyOnWriteArrayList + javautilLinkedList) * 0.15822974)) * 2.1056259e-8)) + 2.7480464e-5"
