Complexity,Loss,Equation
1,1.1768369e-9,"4.875331e-5"
5,1.0987352e-9,"(input0 * 1.9534362e-8) + 3.9318424e-5"
7,1.0232463e-9,"(input0 * (javautilLinkedListaddjavalangObject * 4.753614e-8)) + 4.309771e-5"
8,9.907728e-10,"((exp(javautilLinkedListaddjavalangObject) * 1.9473081e-8) * input0) + 3.536394e-5"
9,9.824972e-10,"(input0 * ((javautilLinkedListaddjavalangObject * 4.2333184e-8) + 1.4601357e-8)) + 3.66799e-5"
10,9.771572e-10,"(input0 * (exp(javautilLinkedListaddjavalangObject + javautilconcurrentCopyOnWriteArrayList) * 2.1129239e-8)) + 3.3008764e-5"
11,9.762051e-10,"((input0 * (cos(cos(javalangLong)) + javautilLinkedListaddjavalangObject)) * 3.4344996e-8) + 3.4820438e-5"
12,9.560169e-10,"(exp(javautilLinkedListaddjavalangObject + (javalangDouble + javalangLong)) * (input0 * 1.2104329e-8)) + 3.4166576e-5"
13,9.545813e-10,"(exp(javautilLinkedListaddjavalangObject + (sin(javalangDouble) + javalangLong)) * (input0 * 1.2104329e-8)) + 3.4166576e-5"
14,9.428047e-10,"((exp(javautilLinkedListaddjavalangObject + (javautilconcurrentCopyOnWriteArrayList + (javalangDouble + javalangLong))) * input0) * 1.2104329e-8) + 3.4166576e-5"
15,9.347008e-10,"((exp(javautilconcurrentCopyOnWriteArrayList + (javautilLinkedListaddjavalangObject + sin(javalangLong + javalangDouble))) * 1.4204307e-8) * input0) + 3.308643e-5"
16,9.298084e-10,"(((javautilLinkedListaddjavalangObject + (javautilconcurrentCopyOnWriteArrayList + exp((javalangDouble + javalangLong) + -1.2622563))) * input0) * 4.3149356e-8) + 3.305296e-5"
19,9.2866986e-10,"(((javalangLong + (javalangDouble + 0.83292615)) + ((javautilLinkedList + javautilconcurrentCopyOnWriteArrayList) * (javalangLong + 2.4332232))) * (input0 * 1.7717904e-8)) + 3.1301828e-5"
20,9.249643e-10,"(((javalangLong + exp(javautilconcurrentCopyOnWriteArrayList * 1.5545231)) * ((javalangDouble + javautilLinkedList) + (javautilLinkedList + 0.6281547))) * (input0 * 1.9019652e-8)) + 3.308291e-5"
23,9.231068e-10,"(input0 * (((javalangLong + (javalangDouble + 0.81347394)) + ((javautilLinkedList + javautilconcurrentCopyOnWriteArrayList) * ((javautilconcurrentCopyOnWriteArrayList + 2.1196063) + (javalangDouble + javalangLong)))) * 1.7479458e-8)) + 3.1672196e-5"
24,9.227279e-10,"((javalangLong + ((javalangDouble + ((javautilLinkedList + javautilconcurrentCopyOnWriteArrayList) * ((exp(javautilconcurrentCopyOnWriteArrayList) * javalangDouble) + (2.1196063 + javalangLong)))) + 0.81347394)) * (input0 * 1.7479458e-8)) + 3.1672196e-5"
26,9.21133e-10,"(input0 * (((javalangLong + (javalangDouble + 0.81347394)) + ((javautilLinkedList + javautilconcurrentCopyOnWriteArrayList) * ((javautilconcurrentCopyOnWriteArrayList + 2.1196063) + ((exp(javautilconcurrentCopyOnWriteArrayList) * javalangDouble) + javalangLong)))) * 1.7479458e-8)) + 3.1672196e-5"
29,9.210661e-10,"sin(((input0 + -0.6319733) * (((javalangLong + (javalangDouble + 0.81347394)) + ((javautilLinkedList + javautilconcurrentCopyOnWriteArrayList) * ((javautilconcurrentCopyOnWriteArrayList + 2.1196063) + ((exp(javautilconcurrentCopyOnWriteArrayList) * javalangDouble) + javalangLong)))) * 1.7479458e-8)) + 3.1672196e-5)"
