Complexity,Loss,Equation
1,5.4976113e-9,"0.000105574894"
3,1.7014543e-9,"input0 * 2.1943656e-7"
5,1.074426e-9,"(input0 * 1.7251159e-7) + 3.620065e-5"
7,1.0741699e-9,"((input0 + javautilArrayList) * 1.725332e-7) + 3.614286e-5"
8,1.0401773e-9,"(sin(input0 * -0.00060190924) * -0.00032030436) + 3.164825e-5"
10,1.0388684e-9,"(input0 * (sin(input0 * -2.531579e-11) + 2.0580477e-7)) + 3.0652565e-5"
11,1.0387475e-9,"((input0 * ((input0 * 2.5192825e-5) + -0.19473131)) * -1.067387e-6) + 3.0324289e-5"
12,1.038698e-9,"sin((input0 * 0.00011144917) + -0.7767742) * ((input0 * -2.9926676e-7) + -4.333894e-5)"
14,1.0385701e-9,"sin((input0 * 0.00011144917) + -0.7767742) * (((javautilArrayListcontainsAlljavautilCollection + input0) * -2.9926676e-7) + -4.333894e-5)"
15,1.0324529e-9,"(((((javautilLinkedListcontainsAlljavautilCollection + 2.6223748) * 7.965445e-6) * input0) + -0.15530954) * (input0 * -1.3703034e-6)) + 2.976402e-5"
17,1.0322779e-9,"((((((javautilLinkedList * 364.17825) + input0) * 4.5347937e-5) + -0.32913268) * (ImportsUsed * -3.2479264e-7)) * input0) + 2.9956638e-5"
20,1.0299342e-9,"((((((((ImportsUsed * javautilLinkedList) + sin(input0)) * 161.78082) + input0) * 4.6176992e-5) + -0.33051518) * -6.4650607e-7) * input0) + 2.9913763e-5"
22,1.0210515e-9,"ImportsUsed * ((input0 * (((((sin((javautilArrayList * input0) + javautilLinkedListcontainsAlljavautilCollection) * 623.96454) + input0) * 6.7109395e-5) + -0.48539507) * -2.2355368e-7)) + 1.46842285e-5)"
24,1.020778e-9,"ImportsUsed * ((javautilCollection * 1.4984472e-5) + (input0 * (((((sin((javautilArrayList * input0) + javautilLinkedListcontainsAlljavautilCollection) * 623.96454) + input0) * 6.660998e-5) + -0.48539507) * -2.2188611e-7)))"
27,1.0199008e-9,"ImportsUsed * (((((4.1715954e-5 * ((370.37714 * ((javautilLinkedList + sin(javautilArrayListcontainsAlljavautilCollection * input0)) + sin(input0 * javautilArrayListcontainsAlljavautilCollection))) + input0)) + -0.33051518) * input0) * -3.1691937e-7) + 1.5234747e-5)"
