Complexity,Loss,Equation
1,6.386146e-10,"4.04829e-5"
4,6.029627e-10,"log(input0) * 7.43854e-6"
6,5.8259764e-10,"(log(input0) + javautilconcurrentCopyOnWriteArrayListequalsjavalangObject) * 7.2233584e-6"
8,5.770755e-10,"log(input0) * ((javautilconcurrentCopyOnWriteArrayList * 2.701972e-6) + 7.0721694e-6)"
10,5.7662236e-10,"((javautilconcurrentCopyOnWriteArrayList * 3.2652574e-6) + 7.594428e-6) * (log(input0) + -0.41256422)"
11,5.762106e-10,"log(input0) * (((log(input0) * 6.381155e-7) * javautilconcurrentCopyOnWriteArrayList) + 7.0698206e-6)"
13,5.762075e-10,"((((javautilconcurrentCopyOnWriteArrayList * cos(javalangShort)) * 3.143586e-6) + 7.5024454e-6) * log(input0)) + -2.5438137e-6"
14,5.749024e-10,"(((cos(javalangShort) * log(input0)) * (javautilconcurrentCopyOnWriteArrayList * 7.0587737e-7)) + 7.069194e-6) * log(input0)"
15,5.7432986e-10,"log(input0) * ((log(input0) * ((javautilArrayList * -8.836911e-8) + (javautilconcurrentCopyOnWriteArrayList * 5.9372155e-7))) + 7.263777e-6)"
16,5.7297683e-10,"(((javautilconcurrentCopyOnWriteArrayList * 3.7700515e-6) * cos(cos((javalangShort + 1.3915384) + input0))) + 7.0543624e-6) * log(input0)"
18,5.726976e-10,"log(input0) * (((javautilconcurrentCopyOnWriteArrayList * 3.7620184e-6) * cos(cos((-1.8006289 + (javalangShort * -1.8742132)) + input0))) + 7.0547458e-6)"
19,5.726975e-10,"log(input0) * sin(((javautilconcurrentCopyOnWriteArrayList * 3.7620184e-6) * cos(cos((javalangShort * -5.013354) + (input0 + -1.8006289)))) + 7.0547458e-6)"
20,5.7220356e-10,"(sin(javautilconcurrentCopyOnWriteArrayList * (cos(cos((cos(input0 + -0.3774793) + javalangShort) * 1.364102)) * 3.7620184e-6)) + 7.0547458e-6) * log(input0)"
22,5.720409e-10,"(((javautilconcurrentCopyOnWriteArrayList * ((cos(cos(input1) + ((input1 + input0) * javalangShort)) * 0.08351822) + 0.034828693)) + 0.22798659) * 3.101594e-5) * log(input0)"
24,5.7203864e-10,"(((javautilconcurrentCopyOnWriteArrayList * ((cos(cos(input1) + ((javalangShort * javautilconcurrentCopyOnWriteArrayList) * (input1 + input0))) * 0.09082039) + 0.039138757)) * 2.804641e-5) + 7.0725323e-6) * log(input0)"
26,5.71523e-10,"log(input0) * (((javautilconcurrentCopyOnWriteArrayList * 0.034828693) + ((javautilconcurrentCopyOnWriteArrayList * (cos(((input0 + input1) * javalangShort) + cos(javalangInteger + input1)) * 0.08371337)) + 0.22798659)) * 3.1011747e-5)"
28,5.7151106e-10,"(((javautilconcurrentCopyOnWriteArrayList * ((cos((((javautilconcurrentCopyOnWriteArrayList * input0) + input1) * javalangShort) + cos((javalangInteger + 0.034828693) + input1)) * 0.08361562) + 0.034828693)) + 0.22798659) * log(input0)) * 3.10146e-5"
