Complexity,Loss,Equation
1,6.126166e-10,"4.0561717e-5"
4,5.7607136e-10,"log(input0) * 7.5565267e-6"
5,5.7368393e-10,"(input0 * 2.1180877e-8) + 3.3413675e-5"
6,5.6076094e-10,"(javautilconcurrentCopyOnWriteArrayListgetint + log(input0)) * 7.3156993e-6"
8,5.5938265e-10,"((javautilconcurrentCopyOnWriteArrayListgetint * 2.156603e-6) + 7.2503226e-6) * log(input0)"
9,5.4748805e-10,"(log(input0) + cos(input0 * 0.00730099)) * 7.4401364e-6"
11,5.466458e-10,"(cos((input0 * -0.007444664) + javautilconcurrentCopyOnWriteArrayList) + log(input0)) * 7.4238974e-6"
12,5.4585825e-10,"(log(input0) + sin(javautilconcurrentCopyOnWriteArrayList + cos(input0 * -0.0074446583))) * 7.399367e-6"
15,5.453724e-10,"((cos((input0 * -0.0064904527) + -0.5600598) * 1.0652989e-6) + 7.3770084e-6) * (log(input0) + javautilconcurrentCopyOnWriteArrayListgetint)"
16,5.4461174e-10,"(7.356315e-6 + (cos((input0 * -0.0064904527) + -0.5600598) * 1.0839452e-6)) * (log(input0) + sin(javautilconcurrentCopyOnWriteArrayListgetint))"
17,5.4292576e-10,"((cos(javautilArrayList + ((input0 * -0.0064904527) + -0.899517)) * 1.2002422e-6) + 7.4407612e-6) * (log(input0) + javautilconcurrentCopyOnWriteArrayListgetint)"
18,5.4262195e-10,"((cos(sin(javautilArrayListgetint + -1.0155435) + (input0 * -0.0064904527)) * 1.2054642e-6) + 7.432355e-6) * (log(input0) + javautilconcurrentCopyOnWriteArrayListgetint)"
19,5.4208316e-10,"(((cos((javautilArrayList + (input0 * -0.006822242)) + -0.63786817) + javautilLinkedList) * 1.0820686e-6) + 7.0737606e-6) * (javautilconcurrentCopyOnWriteArrayListgetint + log(input0))"
21,5.406994e-10,"((((cos((javautilArrayList + (input0 * -0.006746607)) + -0.6712699) * 1.5031161) + javautilLinkedList) * 8.0737743e-7) + 7.16214e-6) * (javautilconcurrentCopyOnWriteArrayListgetint + log(input0))"
23,5.4062477e-10,"((log(input0) + javautilconcurrentCopyOnWriteArrayListgetint) * (((javautilLinkedList + (cos(javautilArrayListgetint + (-0.9710808 + (input0 * -0.0060968036))) * 2.0764265)) * 8.3562e-7) + 9.997649e-6)) * 0.73080754"
24,5.4008514e-10,"(((((cos(((input0 * -0.0060968036) + -0.9350274) + sin(javautilArrayList)) * 2.083559) + javautilLinkedList) * 8.52885e-7) + 1.0032509e-5) * 0.73080754) * (javautilconcurrentCopyOnWriteArrayListgetint + log(input0))"
25,5.3994087e-10,"(javautilconcurrentCopyOnWriteArrayListgetint + log(input0)) * ((((javautilLinkedList + (cos((-0.9350274 + sin(sin(javautilArrayList))) + (-0.0060968036 * input0)) * 2.083559)) * 8.3562e-7) + 9.997649e-6) * 0.73080754)"
26,5.395457e-10,"(log(input0) + (0.70637715 * javautilconcurrentCopyOnWriteArrayList)) * sin((cos(input0 * (((((input0 + 2.8120434) * -1.6707405e-6) * javautilArrayList) + 7.3987894e-6) + 0.007762787)) * 1.1535308e-6) + 7.3987894e-6)"
28,5.3906946e-10,"(log(input0) + ((-0.060694743 + 0.4849991) * javautilconcurrentCopyOnWriteArrayList)) * sin((cos(input0 * (((((input0 + 2.8120434) * -1.6707405e-6) * javautilArrayList) + 7.3987894e-6) + 0.007762787)) * 1.1535308e-6) + 7.3987894e-6)"
