Complexity,Loss,Equation
1,4.894688e-10,"4.248294e-5"
5,4.6552812e-10,"(input0 * 1.5500001e-8) + 3.743168e-5"
6,4.6446968e-10,"(log(input0) * 3.9097213e-6) + 2.222071e-5"
8,4.564475e-10,"((exp(javautilLinkedListsetintjavalangObject) * input0) * 1.2538373e-8) + 3.6855537e-5"
9,4.5615534e-10,"(((javautilLinkedListsetintjavalangObject + 0.72927207) * 1.8933605e-8) * input0) + 3.6633388e-5"
10,4.5081897e-10,"(input0 * ((exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) + javautilLinkedListsetintjavalangObject) * 1.7211727e-8)) + 3.5142308e-5"
11,4.4999612e-10,"(((javautilLinkedListsetintjavalangObject + exp(exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject))) * input0) * 7.438562e-9) + 3.379754e-5"
12,4.472585e-10,"3.3184417e-5 + (exp(javautilconcurrentCopyOnWriteArrayList + (javautilconcurrentCopyOnWriteArrayList + javautilLinkedListsetintjavalangObject)) * (1.8379664e-8 * input0))"
13,4.4428244e-10,"((((javautilconcurrentCopyOnWriteArrayList * 4.04789) + javautilLinkedListsetintjavalangObject) + 0.73857546) * (input0 * 2.3845704e-8)) + 3.373778e-5"
14,4.4274653e-10,"((((javautilLinkedListsetintjavalangObject + cos(javalangShort)) + (javautilconcurrentCopyOnWriteArrayList * 4.04789)) * 2.0308033e-8) * input0) + 3.373778e-5"
15,4.4269138e-10,"((((javautilLinkedListsetintjavalangObject + cos(javalangShort)) + javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) * exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject)) * (input0 * 2.0866866e-8)) + 3.3434022e-5"
16,4.4220774e-10,"(((((javautilLinkedListsetintjavalangObject + cos(javalangShort)) * 0.83143467) + (javautilconcurrentCopyOnWriteArrayList * 4.0523133)) * 2.4983015e-8) * input0) + 3.3268876e-5"
17,4.4067822e-10,"((cos(javautilVectorsetintjavalangObject) * (cos(javalangShort) + ((javautilconcurrentCopyOnWriteArrayList * 3.9949105) + javautilLinkedListsetintjavalangObject))) * (input0 * 2.3507509e-8)) + 3.372517e-5"
18,4.3973247e-10,"(((input0 * ((sin(javautilLinkedList) + cos(javalangShort)) + (4.04789 * javautilconcurrentCopyOnWriteArrayList))) * cos(javautilVectorsetintjavalangObject)) * 2.3845704e-8) + 3.373778e-5"
20,4.3890105e-10,"((exp(javautilconcurrentCopyOnWriteArrayList) * 1.8503451e-8) * (input0 * ((javautilLinkedListsetintjavalangObject + ((cos(javalangShort) * cos(javautilVectorsetintjavalangObject)) + 0.37149978)) + javautilconcurrentCopyOnWriteArrayList))) + 3.305505e-5"
22,4.3863116e-10,"(((cos(javalangShort) * cos(javautilVectorsetintjavalangObject)) + ((0.3215589 + javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) + sin(javautilLinkedList))) * (exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) * (1.995773e-8 * input0))) + sin(3.2864842e-5)"
23,4.3853327e-10,"(exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) * (((javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + (javautilLinkedListsetintjavalangObject + (cos(javalangShort * cos(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject)) * (cos(javautilVector) + 0.36788484)))) * 1.9044473e-8) * input0)) + 3.2988322e-5"
24,4.3838458e-10,"((((javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + ((cos(javautilVectorsetintjavalangObject) * cos(javalangShort * cos(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject))) + 0.3215589)) + sin(javautilLinkedList)) * exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject)) * (input0 * 1.995773e-8)) + 3.2839616e-5"
25,4.3831078e-10,"(input0 * (((cos(cos(input0 * javautilconcurrentCopyOnWriteArrayList) * javalangShort) * (cos(javautilVectorsetintjavalangObject) + 0.386656)) + (javautilLinkedListsetintjavalangObject + javautilconcurrentCopyOnWriteArrayListsetintjavalangObject)) * (exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) * 1.9179533e-8))) + 3.284167e-5"
27,4.3817475e-10,"(exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) * (((javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + (javautilLinkedListsetintjavalangObject + (cos(cos(input0 * javautilconcurrentCopyOnWriteArrayList) * javalangShort) * (cos(javautilVectorsetintjavalangObject) + 0.4265528)))) * (input0 * 1.8750399e-8)) + 5.7172156e-7)) + 3.199322e-5"
29,4.3815676e-10,"(exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) * ((((javautilArrayListsetintjavalangObject + input0) * (((cos(javautilVectorsetintjavalangObject) + 0.40039712) * cos(javalangShort * cos(javautilconcurrentCopyOnWriteArrayList * input0))) + (javautilLinkedListsetintjavalangObject + javautilconcurrentCopyOnWriteArrayList))) * 1.895227e-8) + 4.9948096e-7)) + 3.2149033e-5"
30,4.3815046e-10,"(((((input0 * ((cos(javalangShort * cos(input0 * javautilconcurrentCopyOnWriteArrayList)) * (cos(javautilVectorsetintjavalangObject) + 0.40039712)) + (javautilLinkedListsetintjavalangObject + javautilconcurrentCopyOnWriteArrayListsetintjavalangObject))) + exp(javautilArrayListsetintjavalangObject)) * 1.8908551e-8) + 4.9948096e-7) * exp(javautilconcurrentCopyOnWriteArrayList)) + 3.2149033e-5"
