Complexity,Loss,Equation
1,5.44483e-10,"3.83469e-5"
4,4.725119e-10,"log(input0) * 7.2244998e-6"
6,4.6432921e-10,"(log(input0) + javautilconcurrentCopyOnWriteArrayListsize) * 6.990661e-6"
7,4.6427548e-10,"6.990661e-6 * (log(input0) + sin(javautilconcurrentCopyOnWriteArrayListsize))"
8,4.6232665e-10,"((javautilconcurrentCopyOnWriteArrayListsize + log(input0)) * 8.253555e-6) + -7.2543103e-6"
10,4.6048146e-10,"((log(input0) * 2.6491673e-6) + -1.914316e-6) * (javautilconcurrentCopyOnWriteArrayListsize + 3.003069)"
12,4.4811052e-10,"(sin(1.7327201 * (0.3484011 + log(input0))) + log(input0)) * 7.501997e-6"
14,4.4650839e-10,"(sin((log(input0) + 0.3484011) * (javautilArrayListsize + 1.7327201)) + log(input0)) * 7.3909014e-6"
19,4.455858e-10,"((sin(((log(input0) + -6.505378) + log(input0)) * -0.7984738) * -8.500072e-6) + -8.547816e-6) + (log(input0) * 9.186281e-6)"
21,4.44873e-10,"(log(input0) * 9.186281e-6) + (-8.547738e-6 + (sin((log(input0) + ((javautilconcurrentCopyOnWriteArrayList + 1.3192866) + log(input0))) * -0.7984738) * -8.500072e-6))"
22,4.442921e-10,"(((log(input0) + -4.239089) * 8.977815e-6) + (sin(javautilconcurrentCopyOnWriteArrayList + sin(log(input0) + (log(input0) + -7.4118795))) * 8.993249e-6)) + 2.9077832e-5"
23,4.4241094e-10,"((log(input0) + -4.239089) * 9.396744e-6) + (((sin(((javautilconcurrentCopyOnWriteArrayList + log(input0)) + log(input0)) + -1.1221892) + javautilconcurrentCopyOnWriteArrayList) * 6.999159e-6) + 2.7831251e-5)"
24,4.420969e-10,"(((log(input0) + -4.239089) * 9.340987e-6) + 2.856836e-5) + (sin(sin(((javautilconcurrentCopyOnWriteArrayList + log(input0)) + log(input0)) + -7.4119177) + javautilconcurrentCopyOnWriteArrayList) * 9.503094e-6)"
25,4.4155626e-10,"((log(input0) + -4.239089) * 9.635235e-6) + (((javautilconcurrentCopyOnWriteArrayList + sin(javautilconcurrentCopyOnWriteArrayList + (log(input0) + (log(input0) + (-1.353987 + javautilLinkedList))))) * 7.2664125e-6) + 2.7671786e-5)"
26,4.4126716e-10,"(((log(input0) + -5.3721743) * 9.592092e-6) + ((sin(((log(input0) + -8.283306) + (javautilconcurrentCopyOnWriteArrayList + cos(javautilArrayList))) + log(input0)) + javautilconcurrentCopyOnWriteArrayList) * 7.268172e-6)) + 3.8585527e-5"
27,4.395149e-10,"(sin(javautilconcurrentCopyOnWriteArrayList + sin(sin(((javautilconcurrentCopyOnWriteArrayList + log(input0)) + (log(input0) + javautilLinkedList)) + -1.3694324))) * 9.816302e-6) + (((log(input0) + -6.292277) * 9.403062e-6) + 4.7978174e-5)"
28,4.3934584e-10,"((log(input0) + -6.292277) * 9.319956e-6) + sin(4.7728765e-5 + sin(sin(javautilconcurrentCopyOnWriteArrayList + sin((log(input0) + ((javautilLinkedList + log(input0)) + -1.3694217)) + javautilconcurrentCopyOnWriteArrayList)) * 9.44314e-6))"
29,4.3922727e-10,"((log(input0) + -5.7980504) * 9.666316e-6) + ((sin(javautilconcurrentCopyOnWriteArrayList + sin(sin((javautilconcurrentCopyOnWriteArrayList + ((log(input0) + (log(input0) + javautilLinkedList)) + -8.813322e-6)) + -1.4309912))) * 1.0578595e-5) + 4.32402e-5)"
