Complexity,Loss,Equation
1,6.671289e-10,"4.1152394e-5"
5,6.256994e-10,"(input0 * 2.1822606e-8) + 3.170583e-5"
7,6.2264255e-10,"((input0 * 2.2069614e-8) * javautilArrayListsubListintint) + 3.757862e-5"
8,6.1583155e-10,"(sin(input2 + 1.1208457) * -1.0514142e-5) + 4.212193e-5"
9,5.9400346e-10,"cos(sin((input0 * 0.1689567) + 0.84544605)) * 5.028054e-5"
10,5.671967e-10,"(sin((javautilArrayListsubListintint * input2) + 0.52530956) * -2.445816e-5) + 4.990393e-5"
11,5.6579763e-10,"(sin(sin((input2 * javautilArrayListsubListintint) + 0.4736009)) * -2.8174863e-5) + 5.0077033e-5"
12,5.594225e-10,"(sin((javautilArrayListsubListintint * (input2 + 0.3516877)) + 0.34411895) * -2.7524447e-5) + 4.755949e-5"
13,5.569178e-10,"(sin(sin(javautilArrayListsubListintint * (input2 + javautilArrayListsubListintint)) + 1.0229813) * -5.041536e-5) + 8.122645e-5"
14,5.4811206e-10,"((javautilArrayList + 0.4931837) * (sin(javautilconcurrentCopyOnWriteArrayListsubListintint + (input2 + 0.7787798)) * -1.8562663e-5)) + 4.142548e-5"
19,5.274341e-10,"((1.6850201 + ((sin(-1.2521323 + (javautilArrayListsubListintint * input2)) + MethodInvocationsDepth0) * sin(input2 + 0.7761926))) * -2.7674876e-5) + 8.554692e-5"
20,5.265245e-10,"(((sin((input2 * javautilArrayListsubListintint) + -1.3181121) + input1) * sin(sin((input2 + javautilconcurrentCopyOnWriteArrayList) + 0.8227725))) * -3.1400516e-5) + 3.8659713e-5"
21,5.1512555e-10,"((((sin((input2 * javautilArrayListsubListintint) + -1.0563859) + input1) * sin((input2 + javautilconcurrentCopyOnWriteArrayList) + 0.75358224)) + 0.30061167) * -2.9777666e-5) + 4.880344e-5"
22,5.1381993e-10,"((((sin((javautilArrayListsubListintint * input2) + -1.0898293) + 1.1875223) * sin(sin((input2 + 0.8255233) + javautilconcurrentCopyOnWriteArrayList))) + 1.6850201) * -2.7652553e-5) + 8.651008e-5"
23,4.9654253e-10,"sin((exp(cos(cos((input2 + 0.98904496) * -0.83221394) * sin(cos(input0 + 1.3872874) + (input0 + javautilArrayList)))) * -4.4714598e-5) + 0.00015123267)"
25,4.901031e-10,"((sin((input0 * input0) * ((input0 + -5.388887e-5) + javautilArrayList)) * sin((input0 * ((input0 + javautilArrayList) + -3.536833e-5)) * input0)) * 2.8451714e-5) + 3.3227134e-5"
27,4.5323328e-10,"(cos(sin(javautilArrayList + (input0 + cos(sin(input0) + 1.3003222))) * sin((input0 + 1.8801931) * (input0 + sin(sin(exp(javautilLinkedList)))))) * -0.00011866682) + 0.00014781926"
